;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Profundidade (m);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2212;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2238;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2253;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2380;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2409;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2411;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2418;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2424;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2426;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2430;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2442;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2473;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2478;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2483;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2500;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2537;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2559;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2559;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2580;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2633;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2644;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271025742;1-BRSA-983-ESS (1ESS206);2649;1;1;11/11/2011;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);2848;2;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);2879;3;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);2917;5;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);2923;6;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);2932;7;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3111;10;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3144;11;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3204;12;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3230;13;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3275;14;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3299;15;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3330;16;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3342;17;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3346;18;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3353;19;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3378;20;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3384;21;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3397;22;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3429;23;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3486;25;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3500;26;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3529;27;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3542;28;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3549;29;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3566;30;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3568;31;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3592;33;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3606;34;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3621;35;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3630;36;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3682;40;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);3996;1;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4020;2;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4079;6;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4135;11;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4181;1;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4294;3;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4316;14;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4332;12;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4383;6;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4392;4;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4406;1;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4519;10;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4549;5;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4631;8;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4631;11;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4649;10;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4649;7;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271026870;6-BRSA-1160-ESS (6-PER-6-ESS);4776;3;3;13/12/2013;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1760;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1935;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);1938;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2049;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2075;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2168;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2196;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2561;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2567;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2580;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2628;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2718;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2739;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2768;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2776;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2777;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2810;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2812;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2313;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2816;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2818;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2820;1;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2864;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2865;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2868;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);2887;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3320;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022149;6-BRSA-475-ESS (6-PER-3-ESS);3580;2;2;27/01/2008;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2816;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);1833;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2849;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);2875;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3003;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3013;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3014;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3033;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3043;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3108;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271023058;4-BRSA-620-ESS (4-PER-5-ESS);3115;1;1;03-ago-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2658;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2734;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2772;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2857;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2878;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2910;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2955;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;2979;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;3014;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
ESPÍRITO SANTO;34271022816;4-PER-4-ESS;3035;1;1;27-Abr-08;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;2906;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;2936;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;2991;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3098;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3117;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3130;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3307;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3308;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3311;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3313;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3315;1;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3436;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3450;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3520;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3535;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3566;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3572;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3697;2;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3712;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3718;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3727;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3733;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3740;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3745;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3748;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3755;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3758;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3766;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3775;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3789;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3793;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3796;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3808;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3845;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3869;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
