;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3409.4;3410.3;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3415.5;3416.4;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3447.5;3448.4;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;8;3442;3443;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;7;3339;3339.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;7;3339.9;3340.8;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;7;3340.8;3341.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;7;3341.7;3342.5;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;7;3342.5;3343.4;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;6;7;3343.4;3344.05;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;7;7;3344.05;3344.40;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;5;3345;3345.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;5;3345.9;3346.8;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;5;3346.8;3347.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;5;3347.7;3348.5;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;5;3348.6;3349.3;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;7;3351;3351.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;7;3351.9;3352.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;7;3352.8;3353.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;7;3353.7;3354.6;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;7;3354.6;3355.5;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;6;7;3355.5;3356.4;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;7;7;3356.4;3357.25;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;8;4494;4494.8;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;8;4494.8;4495.7;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;8;4495.7;4496.6;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;4;8;4496.6;4497.6;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;5;8;4497.6;4498.4;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;6;8;4498.4;4499.3;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;8;8;4500.0;4500.4;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;7;4500.4;4501.2;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;7;4501.2;4502.1;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;7;4502.1;4503.0;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;4;7;4503.0;4503.9;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;5;7;4503.9;4504.8;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;6;7;4504.8;4505.45;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;7;7;4505.45;4505.70;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;3;4540;4540.9;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;3;4540.9;4541.5;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;3;4541.5;4541.85;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;2;4546.3;4547.15;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;2;4547.2;4548.05;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;3;3054.0;3054.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;3;3054.9;3055.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;3;3055.8;3056.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;7;3056.4;3057.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;7;3057.3;3058.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;7;3058.2;3059.1;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;7;3059.1;3060.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;7;3060.0;3060.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;7;3060.9;3061.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;7;3061.3;3062.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;4;3067.5;3068.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;4;3068.4;3069.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;4;3069.3;3070.25;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;4;3070.25;3071.5;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;9;3077.0;3077.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;9;3077.9;3078.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;9;3078.8;3079.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;9;3079.7;3080.6;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;9;3080.6;3081.5;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;9;3081.5;3082.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;9;3082.4;3083.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;8;9;3083.3;3084.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;9;9;3084.2;3084.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;14;3086.0;3086.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;14;3086.9;3087.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;14;3087.8;3088.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;14;3088.7;3089.6;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;14;3089.6;3090.5;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;14;3090.5;3091.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;14;3091.4;3092.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;8;14;3092.2;3093.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;9;14;3093.2;3094.1;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;10;14;3094.1;3095.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;11;14;3095.0;3095.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;12;14;3095.9;3096.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;13;14;3096.8;3097.7;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;14;14;3097.7;3098.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;8;3442;3443;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3409.4;3410.3;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3415.5;3416.4;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026155;9-PPT-3DA-RJS;1;1;3447.5;3448.4;05/04/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;7;3339;3339.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;7;3339.9;3340.8;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;7;3340.8;3341.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;7;3341.7;3342.5;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;7;3342.5;3343.4;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;6;7;3343.4;3344.05;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;7;7;3344.05;3344.40;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;5;3345;3345.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;5;3345.9;3346.8;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;5;3346.8;3347.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;5;3347.7;3348.6;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;5;3348.6;3349.3;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;1;7;3351;3351.9;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;2;7;3351.9;3352.8;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;3;7;3352.8;3353.7;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;4;7;3353.7;3354.6;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;5;7;3354.6;3355.5;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;6;7;3355.5;3356.4;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281026450;9-PPT-13D-RJS;7;7;3356.4;3357.25;03/11/2012;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;8;4494;4494.8;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;8;4494.8;4495.7;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;8;4495.7;4496.6;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;4;8;4496.6;4497.5;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;5;8;4497.5;4498.4;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;6;8;4498.4;4499.3;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;7;8;4499.3;4500.0;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;8;8;4500.0;4500.4;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;7;4500.4;4501.3;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;7;4501.3;4501.3;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;7;4501.3;4503.1;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;4;7;4503.1;4504.0;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;5;7;4504.0;4504.9;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;7;7;4505.55;4505.8;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;3;4540;4540.9;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;3;4540.9;4541.6;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;3;3;4541.6;4541.85;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;1;2;4546.3;4547.2;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281028491;9-PPT-42DP-RJS;2;2;4547.2;4548.05;18/01/2016;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;3;3054.0;3054.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;3;3054.9;3055.8;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;3;3055.8;3056.4;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;7;3056.4;3057.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;2;7;3057.3;3058.2;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;3;7;3058.2;3059.1;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;4;7;3059.1;3060.0;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;5;7;3060.0;3060.9;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;6;7;3060.9;3061.3;26/02/2005;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;7;7;3061.3;3062.0;26/02/2005;RIO DE JANEIRO/RJ;3R
